n,d,sqrt_n,d_over_sqrt_n,relative_norm_mean,relative_norm_std,abs_norm_mean
100,2,10.0,0.2,0.21007333622983543,0.045191108677675056,0.2183241626229465
100,3,10.0,0.3,0.215989112485586,0.04721467860958954,0.18598411727770914
100,4,10.0,0.4,0.20699002399783292,0.05348441190229861,0.2390450209121374
100,5,10.0,0.5,0.2477319930237961,0.059768981354345926,0.25337144345426277
100,6,10.0,0.6,0.22112776328753564,0.03989205464602961,0.22840670903283913
100,7,10.0,0.7,0.212537191999411,0.062002670348354036,0.2432761120551187
100,8,10.0,0.8,0.2550945396460257,0.04146383005024299,0.24441665780787925
100,9,10.0,0.9,0.25417452150249875,0.052929698543000545,0.2556239606869117
100,10,10.0,1.0,0.2596128038794435,0.0727189523520324,0.25509644100055845
100,11,10.0,1.1,0.25887007657741357,0.08790849685800775,0.2645647146623109
100,12,10.0,1.2,0.26139387397328945,0.047735312142659136,0.23897846921293509
100,13,10.0,1.3,0.3076744014205022,0.050152467025909385,0.257131416612353
100,14,10.0,1.4,0.2902130054220372,0.05641965859074761,0.30781407608425215
100,15,10.0,1.5,0.250344622560039,0.0584688833532555,0.25236747651356173
100,16,10.0,1.6,0.28165538159561604,0.04942016199062008,0.2805261123677449
100,17,10.0,1.7,0.31262445121195087,0.08200043571714201,0.31283572810499904
100,18,10.0,1.8,0.33733060775884444,0.061764584441520366,0.34051519417752846
100,19,10.0,1.9,0.331278933729634,0.08038372113768312,0.3310282059921045
100,20,10.0,2.0,0.34354958334426516,0.07348210196841323,0.34242914209568887
100,21,10.0,2.1,0.33986763138725523,0.05474838846946841,0.3376411956633282
100,22,10.0,2.2,0.36029316575332915,0.062060793401878686,0.39157668281009705
100,23,10.0,2.3,0.37489260185593,0.075801376988871,0.37043671162087366
100,24,10.0,2.4,0.37139316360303665,0.054550451532530755,0.3900207858580623
100,25,10.0,2.5,0.3896583618939471,0.034027578908842414,0.4407172170781819
100,26,10.0,2.6,0.41762584485896453,0.07871876432359706,0.42859222758532295
100,27,10.0,2.7,0.38340503618445326,0.08040250971394325,0.37042409198108867
100,28,10.0,2.8,0.41483843165794354,0.045412474381639714,0.4127661352700911
100,29,10.0,2.9,0.3858751165971254,0.09620803192105051,0.3438072841551102
100,30,10.0,3.0,0.42304745462726245,0.053993743637822646,0.4159082601999297
100,31,10.0,3.1,0.43685150746119605,0.06957227033140637,0.4542938913974295
100,32,10.0,3.2,0.437545822076606,0.08017373812493195,0.4376205351057858
100,33,10.0,3.3,0.4283051859660407,0.04905693760150263,0.4334024017206689
100,34,10.0,3.4,0.46225977982186556,0.0941109572195673,0.4996940931682688
100,35,10.0,3.5,0.4352361584714447,0.05940118101208418,0.44559726681828565
100,36,10.0,3.6,0.45794751233993675,0.05319918533959847,0.480531158172021
100,37,10.0,3.7,0.47275571119276993,0.07583438640277554,0.5012589028759575
100,38,10.0,3.8,0.48406046909598943,0.059152367619526094,0.5256146547034863
100,39,10.0,3.9,0.4674102932488835,0.06684110833422754,0.4873974779908671
100,40,10.0,4.0,0.46244917814185316,0.06508999124090226,0.4724453108107932
100,45,10.0,4.5,0.5284302409979704,0.06368640425546575,0.5595156644891219
100,50,10.0,5.0,0.5692928822891796,0.06564713865084931,0.5888583192432285
100,55,10.0,5.5,0.6092866919043148,0.07965775014977433,0.6879962899919494
100,60,10.0,6.0,0.6043569389503959,0.04739894242458927,0.7028947725643532
100,65,10.0,6.5,0.6586264939386178,0.05630658892235937,0.7446941699599431
100,70,10.0,7.0,0.7205103149623351,0.08094849063245474,0.8312610150237202
100,75,10.0,7.5,0.7500528357019902,0.07785791790093315,0.9181214206739847
100,80,10.0,8.0,0.7741243863691949,0.0694882835640278,0.9920537097865262
100,85,10.0,8.5,0.8036882636148688,0.06290349589681045,1.033316477934071
500,2,22.360679774997898,0.08944271909999159,0.10152215961963215,0.01892507901708131,0.08440072693557338
500,4,22.360679774997898,0.17888543819998318,0.09814030804859131,0.041062300027524944,0.0742507816375058
500,6,22.360679774997898,0.2683281572999747,0.11469562686658516,0.028648757681579363,0.10843873091621888
500,8,22.360679774997898,0.35777087639996635,0.12609243139483908,0.018935202817716348,0.11185410518118985
500,10,22.360679774997898,0.4472135954999579,0.12827537169448086,0.04435088703268681,0.10128042474749546
500,11,22.360679774997898,0.4919349550499537,0.12348329152022039,0.01796537607424882,0.14093998960926307
500,14,22.360679774997898,0.6260990336999411,0.13473530304020478,0.021184114897087478,0.12909006377990354
500,17,22.360679774997898,0.7602631123499285,0.13878783184561427,0.0200487748409988,0.13180874224720351
500,20,22.360679774997898,0.8944271909999159,0.15896440008696577,0.015904822543975315,0.17138090074120002
500,23,22.360679774997898,1.028591269649903,0.1529403980567444,0.024937180281942372,0.157129955611483
500,26,22.360679774997898,1.1627553482998907,0.16821323493131568,0.01557162240125577,0.15722598275918248
500,29,22.360679774997898,1.296919426949878,0.17507422787051335,0.014137319086563538,0.1701022237560929
500,32,22.360679774997898,1.4310835055998654,0.19122328347535125,0.018601954688463023,0.18379913281578242
500,35,22.360679774997898,1.5652475842498528,0.18987232279022578,0.021344176639494068,0.18947916795421849
500,38,22.360679774997898,1.6994116628998401,0.2012843135439729,0.023278139239772906,0.19420627534556023
500,41,22.360679774997898,1.8335757415498275,0.20733336625782434,0.028103638740146014,0.20628190439763464
500,44,22.360679774997898,1.9677398201998149,0.21554711212982197,0.032261166703967045,0.21625972985314795
500,47,22.360679774997898,2.101903898849802,0.2251229237564015,0.024103300999027282,0.22421871685899694
500,50,22.360679774997898,2.23606797749979,0.22939844686713823,0.028646758057046952,0.23631627279319306
500,53,22.360679774997898,2.370232056149777,0.2552496755154916,0.023269945974159954,0.26379261177679403
500,56,22.360679774997898,2.5043961347997645,0.23709165490738685,0.03033677999558517,0.2358395465080542
500,59,22.360679774997898,2.6385602134497517,0.24849192630403044,0.01682292724660318,0.25532182584258384
500,62,22.360679774997898,2.7727242920997393,0.25203321888676966,0.017113456577642013,0.2539772727109944
500,65,22.360679774997898,2.9068883707497264,0.2851394805258075,0.027163358604648857,0.28487310535697924
500,68,22.360679774997898,3.041052449399714,0.2671365980438392,0.015024342470140766,0.2681310086964849
500,71,22.360679774997898,3.175216528049701,0.28697197273813835,0.02440382283519881,0.2992556940638472
500,74,22.360679774997898,3.3093806066996887,0.2819671552437507,0.02362939459184759,0.29308027404567916
500,77,22.360679774997898,3.443544685349676,0.2930654567912633,0.024243027822620184,0.2944476460124964
500,80,22.360679774997898,3.5777087639996634,0.30192363281573253,0.03258465197929907,0.3012981859119416
500,83,22.360679774997898,3.7118728426496506,0.3207470278790486,0.020206461259919678,0.328725322031655
500,86,22.360679774997898,3.846036921299638,0.3267203580009242,0.03905788363639458,0.3165158182170165
500,88,22.360679774997898,3.9354796403996297,0.31074447802885546,0.03040382280730064,0.31978265955597934
500,113,22.360679774997898,5.053513629149524,0.3714786583471172,0.03029797005147767,0.37602004451546867
500,138,22.360679774997898,6.171547617899419,0.43088791846338054,0.028400627531274623,0.4401915773422359
500,163,22.360679774997898,7.289581606649314,0.4878780225319521,0.026859156213009217,0.5251454613461497
500,188,22.360679774997898,8.407615595399209,0.5528726377381409,0.03751424413260407,0.5887586490217853
500,213,22.360679774997898,9.525649584149104,0.5782409357576155,0.028390476320415654,0.6238522369114772
500,238,22.360679774997898,10.643683572898999,0.631903650827549,0.03686546498466769,0.7000188503739849
500,263,22.360679774997898,11.761717561648894,0.6872741724865741,0.031904952678324695,0.757298630145337
500,288,22.360679774997898,12.879751550398788,0.7287576204914823,0.0371622375405739,0.7969567115836027
500,313,22.360679774997898,13.997785539148683,0.7982866268667802,0.05539900407043425,0.936526311840393
500,338,22.360679774997898,15.115819527898578,0.8393313414695207,0.05393313223586764,1.013502540165626
