n,d,sqrt_n,d_over_sqrt_n,relative_norm_mean,relative_norm_std,abs_norm_mean
100,6,10.0,0.6,0.5610972109113321,0.24042069314634124,0.5368830907126517
100,7,10.0,0.7,0.46082460933318836,0.21943794468218839,0.6229936380777021
100,8,10.0,0.8,0.6506064741708952,0.20343952851078423,0.9043892725508798
100,9,10.0,0.9,0.5522063627436724,0.17968290121401082,0.4988744576906991
100,10,10.0,1.0,0.5974240284142784,0.1446106761997329,0.5578183274234088
100,11,10.0,1.1,0.4497316637834752,0.1474369172950518,0.4061558387038276
100,12,10.0,1.2,0.5025065003350669,0.08532750570926244,0.5030432408314255
100,13,10.0,1.3,0.6018243991573621,0.24458555830505951,0.5602497642899438
100,14,10.0,1.4,0.6134915988800014,0.09667958780274546,0.5952202100672312
100,15,10.0,1.5,0.5513769223608791,0.10925540580040292,0.5175812217213231
100,16,10.0,1.6,0.6322478055121805,0.09917554285925465,0.6412175869625332
100,17,10.0,1.7,0.6348386945204203,0.14177384851069777,0.6060909527786718
100,18,10.0,1.8,0.6168975277459283,0.09396435289307593,0.6204940002807009
100,19,10.0,1.9,0.6134666329416754,0.16443206795128723,0.5816164033982478
100,20,10.0,2.0,0.6532895804884086,0.10005396198209672,0.6698587030685024
100,21,10.0,2.1,0.6558337054943053,0.19120928031654066,0.6444102844571441
100,22,10.0,2.2,0.7590884121488826,0.13942330844611625,0.5491473988579074
100,23,10.0,2.3,0.705624787626381,0.1239142595099463,0.6272171451805533
100,24,10.0,2.4,0.6703435826742159,0.164923769340387,0.5949612785160431
100,25,10.0,2.5,0.7290244297386712,0.13296760320446396,0.8332807028147535
100,26,10.0,2.6,0.7178173256446726,0.1250879036201369,0.6072591921243
100,27,10.0,2.7,0.7049800339191882,0.09279088361327223,0.6211452502257965
100,28,10.0,2.8,0.7520691699701839,0.17433807475529392,0.7528782188820371
100,29,10.0,2.9,0.74987158409167,0.17659364745506076,0.7097729977434643
100,30,10.0,3.0,0.7971333048684344,0.15171712707045132,0.8161586564912225
100,31,10.0,3.1,0.7169896579037389,0.12672456193760107,0.7621589892919372
100,32,10.0,3.2,0.7866377992757374,0.12714287396267568,0.7055190679734767
100,33,10.0,3.3,0.9143563572048935,0.12225401826172357,0.9890395608689243
100,34,10.0,3.4,0.769392932873451,0.2399883758812619,0.7266420854356277
100,35,10.0,3.5,0.7820560514502437,0.19543998224036113,0.8332195074466725
100,36,10.0,3.6,0.7545834676125651,0.13952229471600744,0.6963680073284273
100,37,10.0,3.7,0.7597595802721615,0.17965135671328522,0.7354406307959236
100,38,10.0,3.8,0.8016096951941807,0.17651848461465156,0.9143754577961651
100,39,10.0,3.9,0.7146691404436054,0.08712938491115085,0.637734521018803
100,40,10.0,4.0,0.8242187366854813,0.12879035572969075,0.7984157790625788
100,45,10.0,4.5,0.8444954215607121,0.19870167710865747,0.851820651655836
100,50,10.0,5.0,0.9069705751422458,0.25864259265043854,1.0555813477156266
100,55,10.0,5.5,0.8295720075673939,0.1622787404638147,0.5219357760203389
100,60,10.0,6.0,0.9062723983048683,0.10435958020491434,0.8119097812932303
100,65,10.0,6.5,0.8945310077164355,0.1854575034129112,0.8897706612683909
100,70,10.0,7.0,0.7993826358442051,0.0853489051025109,0.661144197446794
100,75,10.0,7.5,0.913664087860482,0.14669604015048984,0.8810287733585949
100,80,10.0,8.0,0.8520164018201362,0.12466623795979842,0.8042319375244521
100,85,10.0,8.5,0.9599532257800594,0.16355110606169582,0.8266877345169945
500,6,22.360679774997898,0.2683281572999747,0.5842747592097373,0.3404837149342402,1.2488328661457846
500,8,22.360679774997898,0.35777087639996635,0.4770091556963652,0.1713211370277109,0.6060695462697635
500,10,22.360679774997898,0.4472135954999579,0.4328706961278673,0.11099760944373321,0.4393206648561271
500,11,22.360679774997898,0.4919349550499537,0.5015795202896498,0.11241074442236967,0.5398719892507702
500,14,22.360679774997898,0.6260990336999411,0.5305599033146892,0.14782096156601865,0.5658035764455094
500,17,22.360679774997898,0.7602631123499285,0.5645791258567086,0.16374099151631552,0.7057293286967214
500,20,22.360679774997898,0.8944271909999159,0.7275685177674951,0.15739304397592774,0.7573668939177798
500,23,22.360679774997898,1.028591269649903,0.7273930681312157,0.1781677166810017,0.7074579202317772
500,26,22.360679774997898,1.1627553482998907,0.7753342633130476,0.18425125878322593,0.7338939009910818
500,29,22.360679774997898,1.296919426949878,0.751930624054497,0.18307753616755296,0.8070276798430476
500,32,22.360679774997898,1.4310835055998654,0.7805197387196565,0.07674195587899396,0.782515622477611
500,35,22.360679774997898,1.5652475842498528,0.8358683618090226,0.13195163443767283,0.8464830976361
500,38,22.360679774997898,1.6994116628998401,0.7595662045018136,0.138557856751445,0.6838456019540405
500,41,22.360679774997898,1.8335757415498275,0.848432128805297,0.2026515845557749,0.8347225955936259
500,44,22.360679774997898,1.9677398201998149,0.8347413769626619,0.13681767023434174,0.7487377231486368
500,47,22.360679774997898,2.101903898849802,0.686920698981,0.18428336740051499,0.612600750519247
500,50,22.360679774997898,2.23606797749979,0.7802513681232895,0.1596129281479056,0.6930972717702323
500,53,22.360679774997898,2.370232056149777,0.7100064077241753,0.14150835324391448,0.6969746518793116
500,56,22.360679774997898,2.5043961347997645,0.7825473263142823,0.1369539280654831,0.7279422401761348
500,59,22.360679774997898,2.6385602134497517,0.7827863219552704,0.11767655640235823,0.8150475553762279
500,62,22.360679774997898,2.7727242920997393,0.8727134364171529,0.08933221348498518,0.917650796073605
500,65,22.360679774997898,2.9068883707497264,0.817860098582407,0.10718792537086012,0.6969484098350698
500,68,22.360679774997898,3.041052449399714,0.9400003142088293,0.13970127534813093,0.8610783741039393
500,71,22.360679774997898,3.175216528049701,0.7829197843489821,0.18380102266268591,0.713847974848097
500,74,22.360679774997898,3.3093806066996887,0.8946525125278144,0.15057345040649567,0.8220936022588351
500,77,22.360679774997898,3.443544685349676,0.85573702139679,0.1374073598898423,0.8372355593482738
500,80,22.360679774997898,3.5777087639996634,0.8645632835285321,0.10069459170036292,0.8073521644039822
500,83,22.360679774997898,3.7118728426496506,0.8330293387146552,0.16109326086137418,0.8970558032333763
500,86,22.360679774997898,3.846036921299638,0.8457956665539024,0.12635844939780932,0.7816988547882544
500,88,22.360679774997898,3.9354796403996297,0.8200614957485295,0.1379340106758247,0.7786406110216152
500,113,22.360679774997898,5.053513629149524,0.8712043194044767,0.10758507123745734,1.0040995083878879
500,138,22.360679774997898,6.171547617899419,0.8033928571195161,0.0966163869722446,0.8224787185681434
500,163,22.360679774997898,7.289581606649314,0.8786661925701026,0.12508126663478947,0.7659374079860063
500,188,22.360679774997898,8.407615595399209,0.7921822659992266,0.12028695554534279,0.7652670915439035
500,213,22.360679774997898,9.525649584149104,0.8945128078877836,0.12255912307392558,0.8391401570013899
